TEAM,LEAGUE,CITY,NICKNAME,FIRST,LAST
PHN,NL,Philadelphia,Athletics,1876,1876
PHP,PL,Philadelphia,Quakers,1890,1890
PHU,UA,Philadelphia,Keystones,1884,1884
PIR,,Pirrone,All Stars,1925,1943
PIT,NL,Pittsburgh,Pirates,1887,2024
PRC,,Pennsylvania,Red Caps,1917,1920
PRG,,Philadelphia,Royal Giants,1925,1942
PRK,,Parker,All Stars,1942,1945
PRO,NL,Providence,Grays,1878,1885
PT1,AA,Pittsburgh,Pirates,1882,1886
PTC,NN2,Pittsburgh,Crawfords,1931,1938
PTF,FL,Pittsburgh,Rebels,1914,1915
PTK,,Pittsburgh,Keystones,1922,1922
PTP,PL,Pittsburgh,Burghers,1890,1890
RC1,NA,Rockford,Forest Citys,1871,1871
RC2,AA,Rochester,Hop Bitters,1890,1890
RIC,AA,Richmond,Virginias,1884,1884
SAS,,South,All Stars,1944,1945
SCU,,Stars,of Cuba,1931,1931
SDN,NL,San Diego,Padres,1969,2024
SDO,,Santo Domingo,All Stars,1937,1937
SE1,AL,Seattle,Pilots,1969,1969
SEA,AL,Seattle,Mariners,1977,2024
SFN,NL,San Francisco,Giants,1958,2024
SHR,,Shroyer,All Stars,1935,1935
SHV,,Shevlin,All Stars,1933,1933
SL1,NA,St. Louis,Red Stockings,1875,1875
SL2,NA,St. Louis,Brown Stockings,1875,1875
SL3,NL,St. Louis,Brown Stockings,1876,1877
SL4,AA,St. Louis,Cardinals,1882,1891
SL5,NL,St. Louis,Maroons,1885,1886
SLA,AL,St.Louis,Browns,1902,1953
SLF,FL,St.Louis,Terriers,1914,1915
SLG,NN1,St. Louis,Giants,1911,1921
SLN,NL,St. Louis,Cardinals,1892,2024
SLU,UA,St. Louis,Maroons,1884,1884
SNO,NAL,St. Louis - New Orleans,Stars,1940,1941
SPU,UA,St. Paul,Saints,1884,1884
SPZ,,Sprinz,All Stars,1945,1945
SR1,NL,Syracuse,Stars,1879,1879
SR2,AA,Syracuse,Stars,1890,1890
SSA,NAL,St. Louis,Stars,1937,1939
SSN,NN1,St. Louis,Stars,1922,1931
STA,,Decatur,Staleys,1921,1921
TBA,AL,Tampa Bay,Devil Rays,1998,2024
TEX,AL,Texas,Rangers,1972,2024
TL1,AA,Toledo,Blue Stockings,1884,1884
TL2,AA,Toledo,Maumees,1890,1890
TLC,NN2;NAL,Toledo,Crawfords,1939,1939
TLN,,Toledo,Tigers,1923,1923
TOR,AL,Toronto,Blue Jays,1977,2024
TRN,NL,Troy,Trojans,1879,1882
TRO,NA,Troy,Haymakers,1871,1872
TWA,,Ted Williams,All Stars,1941,1941
VDA,,Vince DiMaggio,All Stars,1945,1945
VMA,,Vander Meer,All Stars,1946,1946
WAS,NL,Washington,Nationals,2005,2024
WBS,,Washington,Black Senators,1938,1938
WEG,NN2,Washington,Elite Giants,1936,1937
WHK,,White,Kings,1925,1937
WIL,UA,Wilmington,Quicksteps,1884,1884
WLE,ECL,Wilmington,Potomacs,1925,1925
WOR,NL,Worcester,Ruby Legs,1880,1882
WPS,,Western Pipe & Steel,Boilermakers,1943,1943
WS1,AL,Washington,Senators,1901,1960
WS2,AL,Washington,Senators,1961,1971
WS3,NA,Washington,Olympics,1871,1872
WS4,NA,Washington,Nationals,1872,1872
WS5,NA,Washington,Nationals,1873,1873
WS6,NA,Washington,Olympics,1875,1875
WS7,AA,Washington,Nationals,1884,1884
WS8,NL,Washington,Senators,1886,1889
WS9,AA,Washington,Senators,1891,1891
WSE,ECL,Washington,Potomacs,1924,1924
WSN,NL,Washington,Senators,1892,1899
WSU,UA,Washington,Nationals,1884,1884
WSW,EW,Washington,Pilots,1932,1932
