GAMEID,DATE,DH,EJECTEE,EJECTEENAME,TEAM,JOB,UMPIRE,UMPIRENAME,INNING,REASON
CL4189007022,07/02/1890,2,mcgac101,"Chippy McGarr",BSN,P,strig101,"George Strief",-1,"Fighting"
CL4189007022,07/02/1890,2,davig102,"George Davis",CL4,P,strig101,"George Strief",-1,"Fighting"
PHP189007080,07/08/1890, ,hanln101,"Ned Hanlon",PTP,M,knigl101,"Lon Knight",-1,"Delaying game"
CHP189007280,07/28/1890, ,wardm101,"Monte Ward",BRP,M,snydp101,"Pop Snyder",-1,"Interference non-call"
BR4189007300,07/30/1890, ,oconj104,"Jack O'Connor",CL6,P,peopj101,"Jimmy Peoples",-1,"Balls and strikes"
CL6189008050,08/05/1890, ,welcc101,"Curt Welch",PH4,P,dosch101,"Herm Doscher",-1,"Unknown reason"
TL2189008050,08/05/1890, ,greeb102,"Bill Greenwood",RC2,P,peopj101,"Jimmy Peoples",-1,"Unknown reason"
CHP189008112,08/11/1890,2,duffh101,"Hugh Duffy",CHP,P,pierg101,"Gracie Pierce",-1,"Balls and strikes"
TL2189008240,08/24/1890, ,reilc102,"Charlie Reilly",CL6,P,peopj101,"Jimmy Peoples",-1,"Unknown reason"
BSP189009020,09/02/1890, ,tebep101,"Patsy Tebeau",CLP,P,holbb101,"Bill Holbert",-1,"Obstruction call"
NYP189009180,09/18/1890, ,dailc101,"Con Daily",BRP,P,pierg101,"Gracie Pierce",-1,"Bench jockeying"
SL4189009212,09/21/1890,2,grifs101,"Sandy Griffin",RC2,P,dosch101,"Herm Doscher",-1,"Unknown reason"
CHN189009220,09/22/1890, ,burno101,"Oyster Burns",BRO,P,powep101,"Phil Powers",-1,"Bench jockeying"
LS2189010040,10/04/1890, ,mctaj101,"Jim McTamany",CL6,P,dosch101,"Herm Doscher",-1,"Unknown reason"
LS2189010050,10/05/1890, ,crooj101,"Jack Crooks",CL6,P,dosch101,"Herm Doscher",-1,"Unknown reason"
BS2189104200,04/20/1891, ,duffh101,"Hugh Duffy",BS2,P,snydp101,"Pop Snyder",-1,"Interference call"
PIT189104230,04/23/1891, ,hanln101,"Ned Hanlon",PIT,M,powep101,"Phil Powers",-1,"Catch/trap call"
BRO189106100,06/10/1891, ,mckee101,"Ed McKean",CL4,P,mcquj902,"Jack McQuaid",-1,"Balls and strikes"
LS2189106170,06/17/1891, ,raymh101,"Harry Raymond",LS2,P,davij101,"Jumbo Davis",-1,"Unknown reason"
BS2189106300,06/30/1891, ,daile101,"Ed Daily",WS9,P,kerij101,"John Kerins",-1,"Bench jockeying"
CIN189107080,07/08/1891, ,latha101,"Arlie Latham",CIN,P,mcquj902,"Jack McQuaid",-1,"Call at 1B"
PH4189107130,07/13/1891, ,ryanj103,"Jack Ryan",LS2,P,davij101,"Jumbo Davis",-1,"Balls and strikes"
PIT189107161,07/16/1891,1,wardm101,"Monte Ward",BRO,M,hurst801,"Tim Hurst",-1,"Call at 1B"
PHI189108210,08/21/1891, ,ewinb101,"Buck Ewing",NY1,P,hurst801,"Tim Hurst",-1,"Call at 3B"
CIN189108310,08/31/1891, ,rhinb101,"Billy Rhines",CIN,P,hurst801,"Tim Hurst",-1,"Balls and strikes"
BSN189109082,09/08/1891,2,tebep101,"Patsy Tebeau",CL4,M,hurst801,"Tim Hurst",-1,"Call at 3B"
BRO189109110,09/11/1891, ,reilc102,"Charlie Reilly",PIT,P,mcquj902,"Jack McQuaid",-1,"Call at 3B"
LS2189109130,09/13/1891, ,broud101,"Dan Brouthers",BS2,P,mahom901,"Jerry Mahoney",-1,"Fair/foul call"
LS2189109190,09/19/1891, ,chame101,"Ice Box Chamberlain",PH4,P,mclat901,"Thomas McLaughlin",-1,"Fair/foul call"
LS2189109202,09/20/1891,2,larkh101,"Henry Larkin",PH4,P,mclat901,"Thomas McLaughlin",-1,"Balls and strikes"
ML3189109240,09/24/1891, ,crooj101,"Jack Crooks",CL6,P,mclat901,"Thomas McLaughlin",-1,"Unknown reason"
CHN189109250,09/25/1891, ,milld103,"Doggie Miller",PIT,P,mcquj902,"Jack McQuaid",-1,"Call at HP"
BRO189205260,05/26/1892, ,crooj101,"Jack Crooks",SLN,M,lynct901,"Tom Lynch",-1,"Call at 2B"
PIT189207120,07/12/1892, ,mccat103,"Tommy McCarthy",BSN,P,mitcc901,"Charlie Mitchell",-1,"Bench jockeying"
WSN189207150,07/15/1892, ,tebep101,"Patsy Tebeau",CL4,M,mitcc901,"Charlie Mitchell",-1,"Balls and strikes"
WSN189207200,07/20/1892, ,comic101,"Charlie Comiskey",CIN,M,mitcc901,"Charlie Mitchell",-1,"Call at 1B"
PHI189207210,07/21/1892, ,crooj101,"Jack Crooks",SLN,M,emslb101,"Bob Emslie",-1,"Unknown reason"
BRO189208110,08/11/1892, ,crane101,"Ed Crane",NY1,P,barnb101,"Billy Barnie",-1,"Balls and strikes"
SLN189208210,08/21/1892, ,hanln101,"Ned Hanlon",BLN,M,barnb101,"Billy Barnie",-1,"Unknown reason"
NY1189209242,09/24/1892,2,doylj103,"Jack Doyle",NY1,P,burnt101,"Tom Burns",-1,"Arguing leaving 3rd too soon on SF"
WSN189305020,05/02/1893, ,burno101,"Oyster Burns",BRO,P,mclam901,"Mike McLaughlin",-1,"Balls and strikes"
SLN189305150,05/15/1893, ,vaugf101,"Farmer Vaughn",CIN,P,mcquj902,"Jack McQuaid",-1,"Threw bat at pitcher"
PHI189305200,05/20/1893, ,millj108,"Jocko Milligan",BLN,P,snydp101,"Pop Snyder",-1,"Balls and strikes"
BLN189306140,06/14/1893, ,latha101,"Arlie Latham",CIN,P,mclam901,"Mike McLaughlin",-1,"Balls and strikes"
PIT189307050,07/05/1893, ,mcgrj101,"John McGraw",BLN,P,mclam901,"Mike McLaughlin",-1,"Interference call"
PIT189307070,07/07/1893, ,mccat103,"Tommy McCarthy",BSN,P,mclam901,"Mike McLaughlin",-1,"Call at 3B (Appeal)"
NY1189307260,07/26/1893, ,mcgrj101,"John McGraw",BLN,P,snydp101,"Pop Snyder",-1,"HBP non-call"
CIN189308061,08/06/1893,1,latha101,"Arlie Latham",CIN,P,snydp101,"Pop Snyder",-1,"Balls and strikes"
PIT189308102,08/10/1893,2,browt102,"Tom Brown",LS3,P,powec902,"Charles Power",6,"Pitcher's foot not on rubber"
NY1189308210,08/21/1893, ,tebep101,"Patsy Tebeau",CL4,M,gaffj801,"John Gaffney",-1,"Balls and strikes"
PIT189405120,05/12/1894, ,oconj104,"Jack O'Connor",CL4,P,mcquj902,"Jack McQuaid",-1,"Balls and strikes"
PHI189405180,05/18/1894, ,duffh101,"Hugh Duffy",BSN,P,hurst801,"Tim Hurst",-1,"Call at 1B"
PHI189405180,05/18/1894, ,tuckt103,"Tommy Tucker",BSN,P,hurst801,"Tim Hurst",-1,"Bench jockeying"
NY1189406050,06/05/1894, ,comic101,"Charlie Comiskey",CIN,M,sware101,"Ed Swartwood",-1,"Unknown reason"
WSN189406080,06/08/1894, ,vaugf101,"Farmer Vaughn",CIN,P,hurst801,"Tim Hurst",-1,"Balls and strikes"
BRO189406120,06/12/1894, ,latha101,"Arlie Latham",CIN,P,sware101,"Ed Swartwood",-1,"Call at 3B"
NY1189406220,06/22/1894, ,wardm101,"Monte Ward",NY1,M,stagb901,"Billy Stage",-1,"Call at 2B"
CL4189406280,06/28/1894, ,chilc101,"Cupid Childs",CL4,P,stagb901,"Billy Stage",-1,"Unknown reason"
CL4189407020,07/02/1894, ,tebep101,"Patsy Tebeau",CL4,M,hartj901,"Jack Hartley",-1,"Fair/foul call"
PIT189407041,07/04/1894,1,longh101,"Herman Long",BSN,P,lynct901,"Tom Lynch",-1,"Call at 2B"
SLN189407170,07/17/1894, ,milld103,"Doggie Miller",SLN,P,hurst801,"Tim Hurst",-1,"Unknown reason"
SLN189407180,07/18/1894, ,beckj103,"Jake Beckley",PIT,P,hurst801,"Tim Hurst",-1,"Bench jockeying"
PHI189407280,07/28/1894, ,tierm101,"Mike Tiernan",NY1,P,hoagw901,"Will Hoagland",-1,"Balls and strikes"
CL4189408030,08/03/1894, ,tebep101,"Patsy Tebeau",CL4,M,hurst801,"Tim Hurst",-1,"Unknown reason"
BLN189408200,08/20/1894, ,beckj103,"Jake Beckley",PIT,P,bettw901,"William Betts",-1,"Unknown reason"
BLN189408210,08/21/1894, ,beckj103,"Jake Beckley",PIT,P,bettw901,"William Betts",-1,"Unknown reason"
NY1189409011,09/01/1894,1,latha101,"Arlie Latham",CIN,P,mcquj902,"Jack McQuaid",-1,"Unknown reason"
CL4189409210,09/21/1894, ,mcalj102,"Jimmy McAleer",CL4,P,mcquj902,"Jack McQuaid",-1,"Unknown reason"
CIN189409251,09/25/1894,1,tuckt103,"Tommy Tucker",BSN,P,mcquj902,"Jack McQuaid",-1,"Hid baseball from umpires"
PIT189409250,09/25/1894, ,kennb101,"Brickyard Kennedy",BRO,P,bettw901,"William Betts",-1,"Call at 3B (Struck umpire)"
CL4189505152,05/15/1895,2,tebep101,"Patsy Tebeau",CL4,M,murrm101,"Miah Murray",-1,"Balls and strikes"
CHN189505260,05/26/1895, ,ansoc101,"Cap Anson",CHN,M,murrm101,"Miah Murray",-1,"Ground rule for ball in crowd"
PHI189505301,05/30/1895,1,latha101,"Arlie Latham",CIN,P,emslb101,"Bob Emslie",-1,"Unknown reason"
BLN189506030,06/03/1895, ,oconj104,"Jack O'Connor",CL4,P,bettw901,"William Betts",-1,"Balls and strikes"
NY1189506040,06/04/1895, ,peith101,"Heinie Peitz",SLN,P,murrm101,"Miah Murray",-1,"Call at HP"
NY1189506080,06/08/1895, ,doylj103,"Jack Doyle",NY1,M,murrm101,"Miah Murray",-1,"Call at HP"
NY1189506080,06/08/1895, ,killf101,"Frank Killen",PIT,P,murrm101,"Miah Murray",-1,"Fighting"
PHI189506210,06/21/1895, ,kellj106,"Joe Kelley",BLN,P,murrm101,"Miah Murray",-1,"Balls and strikes"
BLN189506220,06/22/1895, ,mcgrj101,"John McGraw",BLN,P,emslb101,"Bob Emslie",-1,"Call at 1B"
WSN189506250,06/25/1895, ,kellj106,"Joe Kelley",BLN,P,emslb101,"Bob Emslie",-1,"Interference non-call"
CL4189506290,06/29/1895, ,grifc101,"Clark Griffith",CHN,P,stagb901,"Billy Stage",-1,"Balls and strikes"
LS3189507020,07/02/1895, ,vaugf101,"Farmer Vaughn",CIN,P,keeft101,"Tim Keefe",-1,"Fighting"
LS3189507020,07/02/1895, ,obrij104,"John O'Brien",LS3,P,keeft101,"Tim Keefe",-1,"Fighting"
CHN189507060,07/06/1895, ,farrd102,"Duke Farrell",NY1,P,andre101,"Ed Andrews",-1,"Call at 3B"
LS3189507110,07/11/1895, ,mccat103,"Tommy McCarthy",BSN,P,mcdoj105,"Jim McDonald",-1,"Fighting"
LS3189507110,07/11/1895, ,spieh101,"Harry Spies",LS3,P,mcdoj105,"Jim McDonald",-1,"Fighting"
CL4189507162,07/16/1895,2,mcgrj101,"John McGraw",BLN,P,andre101,"Ed Andrews",-1,"Appeal play"
PIT189507230,07/23/1895, ,jennh101,"Hughie Jennings",BLN,P,keeft101,"Tim Keefe",-1,"Balls and strikes"
NY1189508020,08/02/1895, ,shocg101,"George Shoch",BRO,P,burnw801,"Watch Burnham",-1,"Fair/foul call"
BSN189508100,08/10/1895, ,schef101,"Frank Scheibeck",WSN,P,burnw801,"Watch Burnham",-1,"Call at 1B"
PHI189508130,08/13/1895, ,doylj103,"Jack Doyle",NY1,M,burnw801,"Watch Burnham",-1,"Call at 1B"
PHI189508232,08/23/1895,2,mcclj801,"John McCloskey",LS3,M,keeft101,"Tim Keefe",-1,"Unknown reason"
BRO189508280,08/28/1895, ,mcclj801,"John McCloskey",LS3,M,burnw801,"Watch Burnham",-1,"Balls and strikes"
BRO189508280,08/28/1895, ,mcdem101,"Mike McDermott",LS3,P,burnw801,"Watch Burnham",-1,"Balls and strikes"
NY1189509060,09/06/1895, ,mackc101,"Connie Mack",PIT,M,odayh101,"Hank O'Day",-1,"Call at 2B"
BLN189509100,09/10/1895, ,tebep101,"Patsy Tebeau",CL4,M,emslb101,"Bob Emslie",-1,"Unknown reason"
BLN189509120,09/12/1895, ,kellj106,"Joe Kelley",BLN,P,hurst801,"Tim Hurst",-1,"Call at 2B"
WSN189509120,09/12/1895, ,carte101,"Ed Cartwright",WSN,P,murrm101,"Miah Murray",-1,"Call at 2B"
BSN189509180,09/18/1895, ,brods101,"Steve Brodie",BLN,P,murrm101,"Miah Murray",-1,"Fair/foul call"
PIT189604210,04/21/1896, ,obrij104,"John O'Brien",LS3,P,wieds101,"Stump Weidman",-1,"Unknown reason"
CIN189605100,05/10/1896, ,joycb101,"Bill Joyce",WSN,P,sherj901,"Jack Sheridan",-1,"Call at 1B"
BSN189605290,05/29/1896, ,tebep101,"Patsy Tebeau",CL4,M,keeft101,"Tim Keefe",-1,"Threw ball over fence"
WSN189606030,06/03/1896, ,tebep101,"Patsy Tebeau",CL4,M,emslb101,"Bob Emslie",-1,"Call at 1B"
BLN189606100,06/10/1896, ,milld103,"Doggie Miller",LS3,P,sherj901,"Jack Sheridan",-1,"Unknown reason"
BLN189606120,06/12/1896, ,kellj106,"Joe Kelley",BLN,P,sherj901,"Jack Sheridan",-1,"Balls and strikes"
CL4189606190,06/19/1896, ,tebep101,"Patsy Tebeau",CL4,M,lynct901,"Tom Lynch",-1,"Call at 1B"
PHI189606220,06/22/1896, ,clarb103,"Boileryard Clarke",BLN,P,hurst801,"Tim Hurst",-1,"Balls and strikes (Threatened umpire)"
PIT189607030,07/03/1896, ,merrb101,"Bill Merritt",PIT,P,lynct901,"Tom Lynch",-1,"Fighting"
LS3189607060,07/06/1896, ,tennf102,"Fred Tenney",BSN,P,wolfc102,"Chicken Wolf",-1,"Called umpire 'a fat dub'"
LS3189607170,07/17/1896, ,clard103,"Dad Clarke",NY1,P,mcfah901,"Horace McFarlan",-1,"Bench jockeying"
PIT189607170,07/17/1896, ,clemj101,"Jack Clements",PHI,P,bettw901,"William Betts",-1,"Call at 1B"
PIT189607170,07/17/1896, ,taylj102,"Jack Taylor",PHI,P,bettw901,"William Betts",-1,"Call at 1B"
CIN189607211,07/21/1896,1,vaugf101,"Farmer Vaughn",CIN,P,sherj901,"Jack Sheridan",-1,"Call at HP"
CL4189607212,07/21/1896,2,obrij104,"John O'Brien",WSN,P,hurst801,"Tim Hurst",-1,"Call at 1B (Threw hat)"
PIT189607212,07/21/1896,2,brods101,"Steve Brodie",BLN,P,bettw901,"William Betts",-1,"Balls and strikes"
LS3189607221,07/22/1896,1,grifm101,"Mike Griffin",BRO,P,mcfah901,"Horace McFarlan",-1,"Interference call"
LS3189607221,07/22/1896,1,clinb101,"Billy Clingman",LS3,P,mcfah901,"Horace McFarlan",-1,"Catch/trap call"
LS3189607250,07/25/1896, ,mcgud101,"Deacon McGuire",WSN,P,bettw901,"William Betts",-1,"Indecent language after HBP non-call"
CIN189607310,07/31/1896, ,killf101,"Frank Killen",PIT,P,lallb901,"Bud Lally",-1,"Fair/foul call (Punched umpire)"
CHN189608010,08/01/1896, ,mcgub101,"Bill McGunnigle",LS3,M,emslb101,"Bob Emslie",-1,"Bench jockeying"
LS3189608030,08/03/1896, ,donop101,"Patsy Donovan",PIT,P,bettw901,"William Betts",-1,"Call at 3B"
CHN189608080,08/08/1896, ,crosm101,"Monte Cross",SLN,P,mcfah901,"Horace McFarlan",-1,"Call at 2B"
CIN189608090,08/09/1896, ,clarf101,"Fred Clarke",LS3,P,lallb901,"Bud Lally",-1,"Call at 3B (Grabbed umpire)"
WSN189608192,08/19/1896,2,tebep101,"Patsy Tebeau",CL4,M,hurst801,"Tim Hurst",-1,"Call at 1B"
BLN189608220,08/22/1896, ,jennh101,"Hughie Jennings",BLN,P,hurst801,"Tim Hurst",-1,"Call at 1B (Grabbed umpire)"
PHI189608221,08/22/1896,1,crosm101,"Monte Cross",SLN,P,conau901,"Ed Conahan",-1,"Unknown reason"
NY1189609020,09/02/1896, ,joycb101,"Bill Joyce",NY1,M,sherj901,"Jack Sheridan",-1,"Balls and strikes"
PHI189609030,09/03/1896, ,gradm101,"Mike Grady",PHI,P,lallb901,"Bud Lally",-1,"Balls and strikes"
BLN189609041,09/04/1896,1,ansoc101,"Cap Anson",CHN,M,emslb101,"Bob Emslie",-1,"Delaying game"
BLN189609071,09/07/1896,1,mcgrj101,"John McGraw",BLN,P,lallb901,"Bud Lally",-1,"Bench jockeying"
NY1189609080,09/08/1896, ,lyond101,"Denny Lyons",PIT,P,emslb101,"Bob Emslie",-1,"Call at 3B"
WSN189609100,09/10/1896, ,delae101,"Ed Delahanty",PHI,P,lynct901,"Tom Lynch",-1,"Call at 3B"
WSN189609150,09/15/1896, ,demog101,"Gene DeMontreville",WSN,P,hurst801,"Tim Hurst",-1,"Call at 3B"
NY1189609180,09/18/1896, ,gradm101,"Mike Grady",PHI,P,hornm101,"Joe Hornung",-1,"Fair/foul call"
NY1189609180,09/18/1896, ,taylj102,"Jack Taylor",PHI,P,hornm101,"Joe Hornung",-1,"Fair/foul call"
LS3189704240,04/24/1897, ,burkj101,"Jesse Burkett",CL4,P,mcdes101,"Sandy McDermott",1,"Bench jockeying"
LS3189704240,04/24/1897, ,oconj104,"Jack O'Connor",CL4,P,mcdes101,"Sandy McDermott",9,"Bench jockeying"
LS3189705100,05/10/1897, ,davig102,"George Davis",NY1,P,sherj901,"Jack Sheridan",-1,"Unknown reason"
WSN189705110,05/11/1897, ,doylj103,"Jack Doyle",BLN,P,hurst801,"Tim Hurst",-1,"Balls and strikes"
CL4189705120,05/12/1897, ,grifm101,"Mike Griffin",BRO,P,odayh101,"Hank O'Day",-1,"Call at 1B"
CIN189705150,05/15/1897, ,joycb101,"Bill Joyce",NY1,M,emslb101,"Bob Emslie",-1,"Call at 2B"
CL4189705170,05/17/1897, ,obrij104,"John O'Brien",WSN,P,hurst801,"Tim Hurst",-1,"HBP call"
CIN189705200,05/20/1897, ,mcgrj101,"John McGraw",BLN,P,sherj901,"Jack Sheridan",-1,"Obstruction call"
CIN189705210,05/21/1897, ,mcgrj101,"John McGraw",BLN,P,sherj901,"Jack Sheridan",-1,"Obstruction call"
CHN189705230,05/23/1897, ,langb102,"Bill Lange",CHN,P,odayh101,"Hank O'Day",-1,"Fighting"
CHN189705230,05/23/1897, ,obrij104,"John O'Brien",WSN,P,odayh101,"Hank O'Day",-1,"Fighting"
CHN189705300,05/30/1897, ,jennh101,"Hughie Jennings",BLN,P,hurst801,"Tim Hurst",-1,"Call at 1B"
CHN189705300,05/30/1897, ,kellj106,"Joe Kelley",BLN,P,hurst801,"Tim Hurst",-1,"Call at 1B"
NY1189706010,06/01/1897, ,donop101,"Patsy Donovan",PIT,P,mcdes101,"Sandy McDermott",-1,"Call at 2B"
NY1189706010,06/01/1897, ,killf101,"Frank Killen",PIT,P,mcdes101,"Sandy McDermott",-1,"Call at 2B"
NY1189706010,06/01/1897, ,paddd102,"Dick Padden",PIT,P,mcdes101,"Sandy McDermott",-1,"Call at 2B"
NY1189706032,06/03/1897,2,cunnb103,"Bert Cunningham",LS3,P,mcdes101,"Sandy McDermott",-1,"Threw ball over fence"
NY1189706040,06/04/1897, ,rogej102,"Jim Rogers",LS3,M,mcdes101,"Sandy McDermott",-1,"Interference call (Reversed)"
PHI189706040,06/04/1897, ,donop101,"Patsy Donovan",PIT,M,mcdoj105,"Jim McDonald",-1,"Fair/foul call"
WSN189706110,06/11/1897, ,crosm101,"Monte Cross",SLN,P,sherj901,"Jack Sheridan",4,"Call at 3B"
WSN189706190,06/19/1897, ,reilc102,"Charlie Reilly",WSN,P,emslb101,"Bob Emslie",-1,"Call at 2B"
PIT189706240,06/24/1897, ,crosm101,"Monte Cross",SLN,P,sherj901,"Jack Sheridan",12,"Call at 3B"
CHN189706280,06/28/1897, ,ansoc101,"Cap Anson",CHN,M,sherj901,"Jack Sheridan",-1,"Fair/foul call"
PHI189706280,06/28/1897, ,boylj102,"Jack Boyle",PHI,P,emslb101,"Bob Emslie",-1,"Call at 1B"
NY1189706300,06/30/1897, ,kellj106,"Joe Kelley",BLN,P,odayh101,"Hank O'Day",-1,"Balk non-call"
CL4189707030,07/03/1897, ,dougk101,"Klondike Douglass",SLN,P,odayh101,"Hank O'Day",-1,"Balls and strikes"
CIN189707050,07/05/1897, ,peith101,"Heinie Peitz",CIN,P,lynct901,"Tom Lynch",-1,"Arguing 3rd strike"
PIT189707080,07/08/1897, ,warnj103,"Jack Warner",NY1,P,campd901,"Dan Campbell",-1,"Balls and strikes"
CHN189707090,07/09/1897, ,duffh101,"Hugh Duffy",BSN,P,lynct901,"Tom Lynch",-1,"Call at HP"
CHN189707090,07/09/1897, ,ansoc101,"Cap Anson",CHN,M,lynct901,"Tom Lynch",-1,"Call at HP"
CIN189707090,07/09/1897, ,beckj103,"Jake Beckley",CIN,P,hurst801,"Tim Hurst",-1,"Catch/trap call"
CIN189707090,07/09/1897, ,boylj102,"Jack Boyle",PHI,P,hurst801,"Tim Hurst",-1,"Balls and strikes"
CIN189707100,07/10/1897, ,coold101,"Duff Cooley",PHI,P,hurst801,"Tim Hurst",-1,"Call at 2B"
SLN189707100,07/10/1897, ,gradm101,"Mike Grady",SLN,P,sherj901,"Jack Sheridan",-1,"Call at 1B"
LS3189707161,07/16/1897,1,clarf101,"Fred Clarke",LS3,M,lynct901,"Tom Lynch",-1,"Fighting"
LS3189707161,07/16/1897,1,davig102,"George Davis",NY1,P,lynct901,"Tom Lynch",-1,"Fighting"
CIN189707180,07/18/1897, ,browt102,"Tom Brown",WSN,M,odayh101,"Hank O'Day",-1,"Call at 1B"
LS3189707180,07/18/1897, ,hallb101,"Bill Hallman",SLN,M,hurst801,"Tim Hurst",-1,"Call at 3B"
PIT189707221,07/22/1897,1,hawlp101,"Pink Hawley",PIT,P,sherj901,"Jack Sheridan",-1,"Fighting"
CL4189707260,07/26/1897, ,gleak101,"Kid Gleason",NY1,P,odayh101,"Hank O'Day",-1,"Unknown reason"
CL4189707260,07/26/1897, ,meekj101,"Jouett Meekin",NY1,P,odayh101,"Hank O'Day",-1,"Bench jockeying"
CHN189707300,07/30/1897, ,sugdj101,"Joe Sugden",PIT,P,sherj901,"Jack Sheridan",-1,"Call at 2B"
CIN189707300,07/30/1897, ,powej105,"Jack Powell",CL4,P,hurst801,"Tim Hurst",-1,"Balls and strikes"
WSN189707300,07/30/1897, ,clarb103,"Boileryard Clarke",BLN,P,emslb101,"Bob Emslie",-1,"Unknown reason"
WSN189707300,07/30/1897, ,stenj101,"Jake Stenzel",BLN,P,emslb101,"Bob Emslie",-1,"Unknown reason"
LS3189708041,08/04/1897,1,burkj101,"Jesse Burkett",CL4,P,wolfc102,"Chicken Wolf",-1,"Balls and strikes"
LS3189708042,08/04/1897,2,burkj101,"Jesse Burkett",CL4,P,wolfc102,"Chicken Wolf",-1,"Balls and strikes"
BSN189708060,08/06/1897, ,doylj103,"Jack Doyle",BLN,P,lynct901,"Tom Lynch",-1,"Abusive language"
PHI189708120,08/12/1897, ,clarb103,"Boileryard Clarke",BLN,P,kellk102,"Kick Kelly",7,"Protest use of 'old' ball"
PHI189708120,08/12/1897, ,kellj106,"Joe Kelley",BLN,P,kellk102,"Kick Kelly",7,"Protest use of 'old' ball"
PHI189708120,08/12/1897, ,obrit101,"Tom O'Brien",BLN,P,kellk102,"Kick Kelly",8,"Called third strike"
BRO189708190,08/19/1897, ,gradm101,"Mike Grady",SLN,P,carpb901,"Bill Carpenter",-1,"Call at 1B"
BSN189708200,08/20/1897, ,davih101,"Harry Davis",PIT,P,odayh101,"Hank O'Day",-1,"Umpire positioning"
PHI189708201,08/20/1897,1,ehrer101,"Red Ehret",CIN,P,kellk102,"Kick Kelly",-1,"Balls and strikes"
PHI189708202,08/20/1897,2,peith101,"Heinie Peitz",CIN,P,kellk102,"Kick Kelly",-1,"Balls and strikes"
PHI189708242,08/24/1897,2,coold101,"Duff Cooley",PHI,P,kellk102,"Kick Kelly",-1,"Unknown reason"
BRO189708281,08/28/1897,1,clinb101,"Billy Clingman",LS3,P,carpb901,"Bill Carpenter",-1,"Fair/foul call"
NY1189708280,08/28/1897, ,dahlb102,"Bill Dahlen",CHN,P,emslb101,"Bob Emslie",-1,"Call at 3B"
NY1189708280,08/28/1897, ,warnj103,"Jack Warner",NY1,P,emslb101,"Bob Emslie",-1,"Fighting"
WSN189708280,08/28/1897, ,crosm101,"Monte Cross",SLN,P,kellk102,"Kick Kelly",-1,"Balls and strikes"
WSN189708280,08/28/1897, ,hartb106,"Bill Hart",SLN,P,kellk102,"Kick Kelly",-1,"Balls and strikes"
WSN189708280,08/28/1897, ,mcgud101,"Deacon McGuire",WSN,P,kellk102,"Kick Kelly",-1,"Call at 3B"
NY1189708300,08/30/1897, ,ansoc101,"Cap Anson",CHN,M,emslb101,"Bob Emslie",-1,"Condition of field (Darkness)"
WSN189709020,09/02/1897, ,mercw101,"Win Mercer",WSN,P,kellk102,"Kick Kelly",-1,"Call at 2B"
WSN189709081,09/08/1897,1,tebep101,"Patsy Tebeau",CL4,M,carpb901,"Bill Carpenter",-1,"Balls and strikes"
BLN189709090,09/09/1897, ,clarb103,"Boileryard Clarke",BLN,P,kellk102,"Kick Kelly",-1,"Balls and strikes"
