PARKID,NAME,AKA,CITY,STATE,START,END,LEAGUE,NOTES
NYC14,Polo Grounds V,,New York,NY,06/28/1911,09/18/1963,,"NY1:1911-1957;NYA:1913-1922;NYN:1962-63"
NYC15,Ebbets Field,,Brooklyn,NY,04/09/1913,09/24/1957,NL,""
NYC16,Yankee Stadium I,,New York,NY,04/18/1923,09/21/2008,AL,"no games 1974-75"
NYC17,Shea Stadium,William A. Shea Stadium,New York,NY,04/17/1964,09/28/2008,NL,"NYN:1964-2008; NYA:1974-75"
NYC18,Wallace's Ridgewood Park,Ridgewood Park II,Queens,NY,04/24/1887,06/08/1890,AA,"BR3: Sundays (1887-89); BR4: 1890"
NYC19,Washington Park IV,,Brooklyn,NY,04/01/1914,11/01/1915,FL,""
NYC20,Citi Field,,New York,NY,04/13/2009,,NL,""
NYC21,Yankee Stadium II,,New York,NY,04/16/2009,,AL,""
OAK01,Oakland-Alameda County Coliseum,Network Associates Coliseum,Oakland,CA,04/17/1968,,AL,""
OMA01,TD Ameritrade Park,,Omaha,NE,06/13/2019,06/13/2019,AL,"KCA"
PEN01,East End Park,Pendleton Park,Cincinnati,OH,04/25/1891,08/13/1891,AA,"CN3"
PHI01,Jefferson Street Grounds,Athletics Park,Philadelphia,PA,05/15/1871,10/11/1890,,"PH1:1871-75; PH2:1873-75; PHN:1876; PH4:1883-1890"
PHI02,Centennial Park,,Philadelphia,PA,04/21/1875,05/24/1875,NA,"PH3"
PHI03,Oakdale Park,,Philadelphia,PA,05/02/1882,09/21/1882,AA,"PH4"
PHI04,Recreation Park,,Philadelphia,PA,05/01/1883,10/09/1886,NL,""
PHI05,Keystone Park,,Philadelphia,PA,04/17/1884,08/07/1884,UA,""
PHI06,Huntingdon Grounds I,,Philadelphia,PA,04/30/1887,08/06/1894,NL,"no games 8/7 to 8/17/1894; fire 8/6/1894"
PHI07,Forepaugh Park,,Philadelphia,PA,04/30/1890,10/05/1891,,"PHP:1890; PH4:1891"
PHI08,University of Penn. Athletic Field,,Philadelphia,PA,08/11/1894,08/17/1894,NL,"PHI:8/11&8/14 to 8/17/1894"
PHI09,Baker Bowl,,Philadelphia,PA,05/02/1895,06/30/1938,NL,"PHI:not 8/20 to 9/10/1903"
PHI10,Columbia Park,,Philadelphia,PA,04/26/1901,10/03/1908,,"PHA; PHI:8/20 to 9/10/1903"
PHI11,Shibe Park,Connie Mack Stadium,Philadelphia,PA,04/12/1909,10/01/1970,,"PHA:1909-1954; PHI:5/16to5/28/1927;7/4/1938to1970"
PHI12,Veterans Stadium,,Philadelphia,PA,04/10/1971,09/28/2003,NL,""
PHI13,Citizens Bank Park,,Philadelphia,PA,04/12/2004,,NL,""
PHI14,Huntingdon Grounds II,,Philadelphia,PA,08/18/1894,09/06/1894,NL,"Temporary structure after fire on August 6"
PHO01,Chase Field,Bank One Ballpark,Phoenix,AZ,03/31/1998,,NL,""
PIT01,Union Park,,Pittsburgh,PA,08/22/1878,08/24/1878,NL,"PRO: 3 games"
PIT02,Exposition Park I,Lower Field,Pittsburgh,PA,05/09/1882,08/30/1884,,"PT1:1882-1883; PTU: 8/25 to 8/30/1884"
PIT03,Exposition Park II,Upper Field,Pittsburgh,PA,05/01/1883,06/09/1883,AA,"PT1"
PIT04,Recreation Park,,Pittsburgh,PA,05/01/1884,09/30/1890,,"PT1:1884-1886; PIT:1887-1890"
PIT05,Exposition Park III,,Pittsburgh,PA,04/19/1890,10/02/1915,,"PTP:1890; PIT:1891-6/29/1909; PTF:1914-15"
PIT06,Forbes Field,,Pittsburgh,PA,06/30/1909,06/28/1970,NL,""
PIT07,Three Rivers Stadium,,Pittsburgh,PA,07/16/1970,10/01/2000,NL,""
PIT08,PNC Park,,Pittsburgh,PA,04/09/2001,,NL,""
PRO01,Adelaide Avenue Grounds,,Providence,RI,06/12/1875,06/22/1875,NA,"NH1: 6/12/1875; BS1: 6/22/1875"
PRO02,Messer Street Grounds,,Providence,RI,05/01/1878,09/09/1885,NL,""
RCK01,Agricultural Society Fair Grounds,,Rockford,IL,05/05/1871,09/26/1871,NA,""
RIC01,Richmond Fair Grounds,,Richmond,VA,04/29/1875,05/01/1875,NA,"WS6: 2 games"
RIC02,Allens Pasture,,Richmond,VA,08/05/1884,10/15/1884,AA,""
ROC01,Culver Field I,,Rochester,NY,04/28/1890,10/06/1890,AA,""
ROC02,Culver Field II,,Rochester,NY,08/27/1898,08/29/1898,NL,"CL4: 2 games"
ROC03,Ontario Beach Grounds,,Rochester,NY,08/28/1898,08/28/1898,NL,"CL4"
SAI01,St. George Cricket Grounds,,New York,NY,04/22/1886,06/14/1889,,"NY4:1886-87; NY1:4/29 to 6/14/1889"
SAN01,Qualcomm Stadium,San Diego/Jack Murphy Stadium,San Diego,CA,04/08/1969,09/28/2003,NL,""
SAN02,PETCO Park,,San Diego,CA,04/08/2004,,NL,""
SEA01,Sick's Stadium,,Seattle,WA,04/11/1969,10/02/1969,AL,""
SEA02,Kingdome,,Seattle,WA,04/06/1977,06/27/1999,AL,""
SEA03,Safeco Field,,Seattle,WA,07/15/1999,,AL,""
SFO01,Seals Stadium,,San Francisco,CA,04/15/1958,09/20/1959,NL,""
SFO02,Candlestick Park,3Com Park,San Francisco,CA,04/12/1960,09/30/1999,NL,""
SFO03,AT&T Park,Pacific Bell Park; SBC Park,San Francisco,CA,04/11/2000,,NL,""
SJU01,Estadio Hiram Bithorn,,San Juan,PR,04/01/2001,06/30/2010,NL,"TOR: 4/1/2001; MON:4/11-20,6/3-8,9/5-11/2003"
SPR01,Hampden Park Race Track,Springfield Track,Springfield,MA,07/23/1872,05/14/1875,NA,"TRO:7/23/1872; BS1:7/16/1873,5/14/1875"
STL01,Red Stockings Base Ball Park,,St. Louis,MO,05/04/1875,07/04/1875,NA,"SL1"
STL02,Grand Avenue Park,,St. Louis,MO,05/06/1875,10/06/1877,,"SL2:1875; SL3:1876-1877"
STL03,Sportsman's Park I,,St. Louis,MO,05/02/1882,10/13/1892,,"SL4:1882-1891; SLN:1892"
STL04,Union Grounds,,St. Louis,MO,04/20/1884,09/23/1886,,"SLU:1884; SL5:1885-86"
STL05,Robison Field,,St. Louis,MO,04/27/1893,06/06/1920,NL,""
STL06,Sportsman's Park II,,St. Louis,MO,04/23/1902,10/06/1908,AL,""
STL07,Sportsman's Park III,Busch Stadium I,St. Louis,MO,04/14/1909,05/08/1966,,"SLA:1909-1953; SLN:7/1/1920 to 5/8/1966"
STL08,Handlan's Park,Federal League Park,St. Louis,MO,04/16/1914,10/03/1915,FL,""
STL09,Busch Stadium II,,St. Louis,MO,05/12/1966,10/02/2005,NL,""
STL10,Busch Stadium III,,St. Louis,MO,04/10/2006,,NL,""
STP01,Tropicana Field,,St. Petersburg,FL,03/31/1998,,AL,""
SYD01,Sydney Cricket Ground,,Sydney,Australia,03/22/2014,03/23/2014,NL,""
SYR01,Star Park I,Newell Park,Syracuse,NY,05/28/1879,09/10/1879,NL,""
SYR02,Star Park II,,Syracuse,NY,04/28/1890,10/06/1890,AA,""
SYR03,Iron Pier,,Syracuse,NY,08/03/1890,08/03/1890,AA,"Forfeit by LS2 to SR2; no game ever played here"
THR01,Three Rivers Park,,Three Rivers,NY,05/18/1890,07/20/1890,AA,"SR2: Sundays"
TOK01,Tokyo Dome,,Tokyo,JAP,03/29/2000,03/26/2008,,"NYN&CHN:2000;NYA&TBA:2004;BOS&OAK:2008"
TOL01,League Park,,Toledo,OH,05/14/1884,09/23/1884,AA,""
TOL02,Tri-State Fair Grounds,,Toledo,OH,09/13/1884,09/13/1884,AA,""
TOL03,Speranza Park,,Toledo,OH,05/01/1890,10/02/1890,AA,""
TOL04,Armory Park,,Toledo,OH,06/28/1903,08/16/1903,AL,"DET: 2 games"
TOR01,Exhibition Stadium,,Toronto,ONT,04/07/1977,05/28/1989,AL,"first game: snow covering outfield"
TOR02,Rogers Centre,Skydome,Toronto,ONT,06/05/1989,,AL,""
TRO01,Haymakers' Grounds,,Troy,NY,05/09/1871,09/30/1881,,"TRO:1871-72; TRN: 1880-81"
TRO02,Putnam Grounds,,Troy,NY,05/28/1879,05/30/1882,NL,"TRN: 05/30/1882 (Gm 2)"
WAR01,Rocky Point Park,,Warwick,RI,09/06/1903,09/06/1903,NL,"BSN; outfield surrounded by ocean"
WAS01,Olympic Grounds,,Washington,DC,05/04/1871,06/08/1875,NA,"WS3:1871-1872; WS5:1873; WS6:1875"
WAS02,National Grounds,,Washington,DC,04/20/1872,05/25/1872,NA,"WS4"
WAS03,Capitol Grounds,,Washington,DC,04/18/1884,09/25/1884,UA,""
WAS04,Athletic Park,,Washington,DC,05/01/1884,08/05/1884,AA,""
WAS05,Swampoodle Grounds,,Washington,DC,04/29/1886,09/21/1889,NL,""
WAS06,Boundary Field,,Washington,DC,04/13/1891,10/14/1899,,"WS9:1891; WSN: 1892-1899"
WAS07,American League Park I,,Washington,DC,04/29/1901,09/29/1903,AL,"first PA announcer (1902)"
WAS08,American League Park II,,Washington,DC,04/14/1904,10/06/1910,AL,""
WAS09,Griffith Stadium,,Washington,DC,04/12/1911,09/21/1961,AL,"WS1:1911-60; WS2:1961"
WAS10,Robert F. Kennedy Stadium,D.C. Stadium,Washington,DC,04/09/1962,09/23/2007,,"AL:1962-71; NL:2005-07"
WAS11,Nationals Park,,Washington,DC,03/30/2008,,NL,""
WAT01,Troy Ball Club Grounds,,Watervliet,NY,05/20/1882,08/26/1882,NL,"TRN"
WAV01,Waverly Fairgrounds,,Waverly,NJ,04/28/1873,07/23/1873,NA,"ELI"
WEE01,Monitor Grounds,,Weehawken,NJ,09/11/1887,09/11/1887,AA,"NY4"
WHE01,Island Grounds,,Wheeling,WV,09/22/1890,09/22/1890,NL,"PIT"
WIL01,Union Street Park,,Wilmington,DE,09/02/1884,09/15/1884,UA,"9/15 forfeit"
WIL02,BB&T Ballpark at Bowman Field,,Williamsport,PA,08/20/2017,08/20/2017,NL,"PIT"
WNY01,West New York Field Club Grounds,,West New York,NJ,09/11/1898,09/17/1899,NL,"BRO:9/18&10/2/1898; NY1:9/11/98, 6/4&7/16&8/13&9/17/99"
WOR01,Agricultural County Fair Grounds I,,Worcester,MA,05/01/1880,09/29/1882,NL,""
WOR02,Agricultural County Fair Grounds II,,Worcester,MA,08/17/1887,08/17/1887,NL,"1 BSN game"
WOR03,Worcester Driving Park Grounds,,Worcester,MA,10/30/1874,10/30/1874,NA,"1 BS1 game"
