PARKID,NAME,AKA,CITY,STATE,START,END,LEAGUE,NOTES
DES02,Pioneer Memorial Park,,Des Moines,IA,,,,
DET01,Recreation Park,,Detroit,MI,05/02/1881,09/22/1888,NL,
DET02,Bennett Park,,Detroit,MI,4/25/1901,9/10/1911,AL,
DET03,Burns Park,West End Park,Detroit,MI,4/28/1901,9/7/1902,AL,Sundays only
DET04,Tiger Stadium,Navin Field; Briggs Stadium,Detroit,MI,4/20/1912,9/27/1999,AL,
DET05,Comerica Park,,Detroit,MI,4/11/2000,,AL,
DET06,Hamtramck Stadium,,Detroit,MI,,,,
DET07,Mack Park,,Detroit,MI,,,,
DET08,Dequindre Park,,Detroit,MI,,,,
DOT01,Wiregrass Stadium,,Dothan,AL,,,,
DOV01,Fairview Park Fair Grounds,,Dover,DE,06/24/1875,06/24/1875,NA,PH1
DTB01,Cypress Street Park,,Daytona Beach,FL,,,,
DUN01,TD Ballpark,,Dunedin,FL,4/8/2021,5/24/2021,AL,TOR
DUR01,Durham Athletic Field,,Durham,NC,,,,
DYE01,Field of Dreams,,Dyersville,IA,8/12/2021,,AL,
EAS01,Federal Park,,Easton,MD,,,,
EAU01,Carson Park,,Eau Claire,WI,,,,
ELB01,,,Elberton,GA,,,,
ELD01,,,El Dorado,AR,,,,
ELM01,Maple Avenue Driving Park,,Elmira,NY,10/10/1885,10/10/1885,NL,BFN
EOR01,Grove Street Oval,,East Orange,NJ,,,,
ERI01,Ainsworth Field,,Erie,PA,,,,
EVA01,Bosse Field,,Evansville,IN,,,,
FAI01,Fairview Park,,Fairview,NJ,,,,
FAR01,Barnett Field,,Fargo,ND,,,,
FDI01,,,Fort Dodge,IA,,,,
FIN01,Ohio State League Park,,Findlay,OH,,,,
FLC01,City Park,,Falls City,NE,,,,
FLI01,Atwood Stadium,,Flint,MI,,,,
FMT01,,,Fairmont,WV,,,,
FOR01,Grand Duchess,Hamilton Field,Fort Wayne,IN,05/04/1871,08/29/1871,NA,First ML game
FOR02,Swinney Park,,Fort Wayne,IN,10/24/1882,10/24/1882,NL,Last game of playoffs (CHN & PRO)
FOR03,Jailhouse Flats,,Fort Wayne,IN,6/22/1902,8/31/1902,AL,CLE:2 games
FOR04,State School Diamond,,Fort Wayne,IN,,,,
FOR05,Dwenger Park,,Fort Wayne,IN,,,,
FRE01,Freeport Stadium,,Freeport,NY,,,,
FTB01,Fort Bragg Field,,Fort Bragg,NC,7/3/2016,7/3/2016,NL,ATL:1 game
FTS01,,,Fort Smith,AR,,,,
FTW01,La Grave Field,,Fort Worth,TX,,,,
FUL01,Fairfield Kitty League Park,,Fulton,KY,,,,
GAD01,,,Gadsden,AL,,,,
GAL01,Moody Stadium,,Galveston,TX,,,,
GAR01,,,Gary,IN,,,,
GBW01,Joannes Park,,Green Bay,WI,,,,
GEA01,Geauga Lake Grounds,,Geauga Lake,OH,09/02/1888,09/02/1888,AA,CL3:1 game
GIN01,Municipal Ballpark,,Grand Island,NE,,,,
GLK01,Great Lakes Naval Training Station,,Great Lakes,IL,,,,
GLO01,Gloucester Point Grounds,,Gloucester City,NJ,08/05/1888,10/12/1890,AA,Sundays; PH4 6/10/1888
GLO02,Gloucester Fireworks Park,,Gloucester City,NJ,08/05/1888,08/26/1888,AA,PH4 8/05/1888&08/08/26/1888
GOL01,,,Goldsboro,NC,,,,
GRA01,Ramona Park,,Grand Rapids,MI,5/24/1903,5/24/1903,AL,DET
GRA02,Bigelow Field,,Grand Rapids,MI,,,,
GRA03,Lamar Park,,Grand Rapids,MI,,,,
GRA04,,,Grafton,ND,,,,
GRE01,Sportsmans Park,,Greenville,MS,,,,
GRE02,,,Greenwood,MS,,,,
GRE03,Memorial Stadium,,Greensboro,NC,,,,
GRE04,Offutt Field,,Greensburg,PA,,,,
GRI01,,,Griffin,GA,,,,
HAG01,Municipal Stadium,,Hagerstown,MD,,,,
HAM01,Turner Field,,Hammond,IN,,,,
HAM02,,,Hamilton,ON,,,,
HAN01,,,Hannibal,MO,,,,
HAR01,Harrison Field,,Harrison,NJ,4/16/1915,10/3/1915,FL,NEW
HAR02,Bulkeley Stadium,,Hartford,CT,,,,
HAS01,Duncan Field,,Hastings,NE,,,,
HAV01,Estadio Gran,,Havana,Cuba,,,,
HEL01,,,Helena,AR,,,,
HER01,,,Hermandale,MO,,,,
HML01,,,Hammond,LA,,,,
HOM01,Municipal Field,,Homestead,PA,,,,
HON01,Aloha Stadium,,Honolulu,HI,4/19/1997,4/20/1997,NL,SDN:4/19&4/19&4/20/1997
HOP01,,,Hopkinsville,KY,,,,
HOP02,,,Hopewell,PA,,,,
HOU01,Colt Stadium,,Houston,TX,4/10/1962,9/27/1964,NL,
HOU02,Astrodome,,Houston,TX,4/12/1965,10/3/1999,NL,
HOU03,Minute Maid Park,Enron Field; Astros Field,Houston,TX,4/7/2000,,NL,
HOU04,Buffalo Stadium,,Houston,TX,,,,
HOU05,,,Houma,LA,,,,
HOU06,West End Park,,Houston,TX,,,,
HRB01,Island Park,,Harrisburg,PA,,,,
HRT01,Hartford Ball Club Grounds,,Hartford,CT,05/01/1874,09/30/1876,,HR1:1874-75; HAR:1876
HRT02,Hartford Trotting Park,,Hartford,CT,06/21/1872,08/09/1872,NA,MID: 6/21&7/3&8/9
HSP01,,,Hot Springs,AR,,,,
HUN01,Lincoln Park,,Huntsville,AL,,,,
HUN02,,,Huntington,WV,,,,
IND01,South Street Park,,Indianapolis,IN,05/01/1878,09/14/1878,NL,
IND02,Seventh Street Park I,,Indianapolis,IN,05/14/1884,09/20/1884,AA,
IND03,Bruce Grounds,,Indianapolis,IN,05/18/1884,09/21/1884,AA,Sundays
IND04,Seventh Street Park II,,Indianapolis,IN,04/28/1887,10/08/1887,NL,
IND05,Seventh Street Park III,,Indianapolis,IN,04/20/1888,10/05/1889,NL,
IND06,Indianapolis Park,,Indianapolis,IN,07/28/1890,08/02/1890,NL,CL4
IND07,Federal League Park,Washington Park,Indianapolis,IN,4/23/1914,10/8/1914,FL,
IND08,Bush Stadium,,Indianapolis,IN,,,,
IND09,Northwestern Park,,Indianapolis,IN,,,,
IND10,Victory Field,Perry Stadium,Indianapolis,IN,,,,
IND11,Washington Park,,Indianapolis,IN,,,,
IRO01,Windsor Beach,,Irondequoit,NY,05/11/1890,07/20/1890,AA,RC2: Sundays
IRV01,Ollemar Field,,Irvington,NJ,,,,
JAC01,League Park,,Jackson,MS,,,,
JAC02,Lakeview Park,,Jackson,TN,,,,
JAM01,Celoron Baseball Park,,Jamestown,NY,,,,
JER01,Oakdale Park,,Jersey City,NJ,04/24/1889,04/25/1889,NL,NY1: 2 games
JER02,Roosevelt Stadium,,Jersey City,NJ,4/19/1956,9/3/1957,NL,BRO: 7 gms (1956) & 8 gms (1957)
JKV01,Red Cap Stadium,,Jacksonville,FL,,,,
JNC01,Rathert Field,,Junction City,KS,,,,
JOH01,Point Grounds,,Johnstown,PA,,,,
JON01,,,Jonesboro,AR,,,,
JOP01,Childress Field,,Joplin,MO,,,,
KAN01,Athletic Park,,Kansas City,MO,06/07/1884,10/19/1884,UA,
KAN02,Association Park,,Kansas City,MO,04/30/1886,10/15/1892,,KCN:1886; KC2:1888; SLN 1892 (3 games)
KAN03,Exposition Park,,Kansas City,MO,04/25/1889,09/30/1889,AA,
KAN04,Gordon and Koppel Field,,Kansas City,MO,4/16/1914,9/28/1915,FL,
KAN05,Municipal Stadium,Meuhlebach Field; Blues Stadium,Kansas City,MO,4/12/1955,10/4/1972,AL,KC1:1955-67; KCA:1969-1972
KAN06,Kauffman Stadium,Royals Stadium,Kansas City,MO,4/10/1973,,AL,
KCK01,Ward Field,,Kansas City,KS,,,,
KEA01,Memorial Diamond,,Kearney,NE,,,,
KEO01,Perry Park,Walte's Pasture,Keokuk,IA,05/04/1875,06/14/1875,NA,
KEW01,Northeast Park,,Kewanee,IL,,,,
KNO01,Caswell Park,,Knoxville,TN,,,,
KNP01,Glenwood Field,,Kane,PA,,,,
KOK01,Athletic Park,,Kokomo,IN,,,,
KOK02,Highland Park,,Kokomo,IN,,,,
LAN01,Stumpf Field,,Lancaster,PA,,,,
LAS01,Cashman Field,,Las Vegas,NV,4/1/1996,4/7/1996,AL,OAK: 6 games
LBV01,The Ballpark at Disney's Wide World,,Lake Buena Vista,FL,5/15/2007,4/24/2008,AL,TBA 3 games in 2007
LCR01,Copeland Park,,LaCrosse,WI,,,,
LEB01,Lebanon Memorial Park,,Lebanon,IN,,,,
LEE01,,,Leeds,AL,,,,
LEX01,Blue Grass Field,,Lexington,KY,,,,
LGB01,Recreation Park,,Long Beach,CA,,,,
LGV01,,,Longview,TX,,,,
LIC01,Recreation Park Queens Plaza,,Long Island,NY,,,,
LIM01,Halloran Park,,Lima,OH,,,,
LIN01,Sherman Field,,Lincoln,NE,,,,
LIN02,Landis Yard,,Lincoln,NE,,,,
LKC01,,,Lake Charles,LA,,,,
LON01,London Stadium,,London,England,6/29/2019,,,
LOS01,Los Angeles Memorial Coliseum,,Los Angeles,CA,4/18/1958,9/20/1961,NL,
LOS02,Wrigley Field,,Los Angeles,CA,4/27/1961,10/1/1961,AL,
LOS03,Dodger Stadium,Chavez Ravine,Los Angeles,CA,4/10/1962,,NL,LAN:1962-prsnt; LAA:1962-9/2/65; CAL:9/2to9/22/65
LOS04,Gilmore Field,,Los Angeles,CA,,,,
LOS05,White Sox Park,,Los Angeles,CA,,,,
LOU01,Louisville Baseball Park,,Louisville,KY,04/25/1876,09/29/1877,NL,
LOU02,Eclipse Park I,,Louisville,KY,05/05/1882,05/04/1893,,LS2:1882-91; LS3:1892-93
LOU03,Eclipse Park II,,Louisville,KY,05/22/1893,08/02/1899,NL,
LOU04,Eclipse Park III,,Louisville,KY,08/22/1899,09/02/1899,NL,
LOU05,Parkway Field,,Louisville,KY,,,,
LRK01,Crump Park,,Little Rock,AR,,,,
LRK02,Travelers Field,,Little Rock,AR,,,,
LSL01,,,LaSalle,IL,,,,
LUD01,Ludlow Baseball Park,,Ludlow,KY,09/22/1875,09/22/1875,NA,PH2
MAC01,Luther Williams Park,,Macon,GA,,,,
MAN01,Griffith Field,,Manhattan,KS,,,,
MAS01,Long Island Grounds,,Maspeth,NY,07/27/1890,08/03/1890,AA,BR4: 2 games
MAT01,Indians Park,,Mattoon,IL,,,,
MCK01,,,McKeesport,PA,,,,
MEA01,,,Meadville,PA,,,,
MEM01,Lewis Athletic Park,,Memphis,TN,,,,
MEM02,Martin Stadium,,Memphis,TN,,,,
MEM03,Russwood Park,,Memphis,TN,,,,
MET01,,,Metropolis,IL,,,,
MEX01,,,Mexico City,MEX,,,,
MEX02,Estadio Alfredo Harp Helu,,Mexico City,MEX,4/29/2023,,NL,SFN&SDN:2023
MIA01,Sun Life Stadium,JoeRobbie;ProPlayer;Dolphin;LandShark,Miami,FL,4/5/1993,9/28/2011,NL,
MIA02,Marlins Park,LoanDepot Park,Miami,FL,4/4/2012,,NL,
MID01,Mansfield Club Grounds,,Middletown,CT,05/02/1872,07/04/1872,NA,
MID02,,,Middletown,OH,,,,
MID03,Grandview Park Field,,Middletown,PA,,,,
MID04,State Hospital Field,,Middletown,NY,,,,
MIL01,Milwaukee Base-Ball Grounds,,Milwaukee,WI,05/14/1878,09/14/1878,NL,
MIL02,Wright Street Grounds,,Milwaukee,WI,09/27/1884,09/25/1885,,UA:1884; BFN:9/4/1885; PRO: 9/25/1885
MIL03,Athletic Park,,Milwaukee,WI,09/10/1891,10/04/1891,AA,
MIL04,Lloyd Street Grounds,,Milwaukee,WI,5/3/1901,9/12/1901,AL,
MIL05,County Stadium,,Milwaukee,WI,4/14/1953,9/28/2000,,MLN:1953-65; CHA:9gms(1968)&11gms(1969);MIL:70-00
MIL06,Miller Park,American Family Field,Milwaukee,WI,4/6/2001,,NL,
MIN01,Athletic Park,,Minneapolis,MN,10/02/1891,10/02/1891,AA,ML2
MIN02,Metropolitan Stadium,,Bloomington,MN,4/21/1961,9/30/1981,AL,
MIN03,Hubert H. Humphrey Metrodome,,Minneapolis,MN,4/6/1982,10/6/2009,AL,
MIN04,Target Field,,Minneapolis,MN,4/12/2010,,AL,
MIN05,Nicollet Park,,Minneapolis,MN,,,,
MNC01,,,Monaca,PA,,,,
MNH01,West Field,,Munhall,PA,,,,
MNL01,Casino Park,,Monroe,LA,,,,
MNT01,Estadio Monterrey,,Monterrey,MX,8/16/1996,4/4/1999,NL,SDN:8/16&8/17&8/18/1996; 4/4/1999
MOB01,,,Mobile,AL,,,,
MON01,Parc Jarry,Jarry Park,Montreal,QUE,4/14/1969,9/29/1976,NL,
MON02,Stade Olympique,Olympic Stadium,Montreal,QUE,4/15/1977,9/29/2004,NL,
MOU01,,,Mounds,IL,,,,
MRA01,,,Marianna,AR,,,,
MRT01,Matthewson Park,,Marshall,TX,,,,
MSN01,Tin Plate Field,,Monessen,PA,,,,
MTG01,Cramton Bowl,,Montgomery,AL,,,,
MTH01,,,Mt. Holly,NJ,,,,
MTV01,Veterans Park,,Mt. Vernon,IL,,,,
MUN01,Walnut Park,,Muncie,IN,,,,
MUN02,McCullough Park,,Muncie,IN,,,,
MUS01,Athletic Park,,Muskogee,OK,,,,
MYV01,Marysville Ball Park,,Marysville,KS,,,,
NBE01,,,North Bethlehem,PA,,,,
NBG01,,,Newburgh,NY,,,,
NBR01,High School Field,,New Brunswick,NJ,,,,
NCO01,Memorial Stadium,,North Canton,OH,,,,
NEW01,Howard Avenue Grounds,Brewster Park,New Haven,CT,04/21/1875,10/28/1875,NA,
NEW02,Hamilton Park,,New Haven,CT,04/21/1875,04/21/1875,NA,
NEW03,Beyerle's Park,Forest City Park,Newburgh Township,OH,07/22/1888,08/26/1888,AA,CL3:7/22&7/29&8/26
NFN01,Athletic Park,,Norfolk,NE,,,,
NIA01,Hyde Park Stadium,,Niagara Falls,NY,,,,
NLR01,Booster Park,,North Little Rock,AR,,,,
NOL01,Pelican Stadium,,New Orleans,LA,,,,
NOL02,Lincoln Park,,New Orleans,LA,,,,
NOR01,High Rock Park,,Norfolk,VA,,,,
NOR02,Tar Park,,Norfolk,VA,,,,
NOR03,Keller Field,,Norwalk,OH,,,,
NOR04,Norbeck Park,,Norbeck,MD,,,,
NOR05,Bain Field,,Norfolk,VA,,,,
NPN01,Builders Stadium,,Newport News,VA,,,,
NPN02,Pensinsula War Memorial Stadium,,Newport News,VA,,,,
NSH01,Tom Wilson Park,,Nashville,TN,,,,
NSH02,Sulphur Dell,,Nashville,TN,,,,
NWC01,P.J. Flaherty Memorial Field,,New Castle,PA,,,,
NWK01,Wiedenmeyer's Park,,Newark,NJ,7/17/1904,7/17/1904,AL,NYA
NWK02,Meadowbrook Oval,,Newark,NJ,,,,
NWK03,Newark Schools Stadium,,Newark,NJ,,,,
NWK04,Ruppert Stadium,,Newark,NJ,,,,
NWO01,Arnold Park,,Newark,OH,,,,
NYA01,Nyack Park,,Nyack,NY,,,,
NYC01,Union Grounds,,Brooklyn,NY,05/09/1871,09/21/1877,,NY2:1871-75;BR1:1872;BR2:1873-75;NY3:1876;HAR:1877
NYC02,Capitoline Grounds,,Brooklyn,NY,05/06/1872,10/09/1872,NA,BR2
NYC03,Polo Grounds I (Southeast Diamond),,New York,NY,05/01/1883,10/13/1888,,NY1:1883-88; NY4:7/17/1884-1885
NYC04,Polo Grounds II (Southwest Diamond),,New York,NY,05/30/1883,10/25/1883,AA,
NYC05,Washington Park I,,Brooklyn,NY,05/05/1884,05/04/1889,AA,BR3
NYC06,Metropolitan Park,,New York,NY,05/13/1884,08/23/1884,AA,
